dag_id,task_id,task_type,dag_submit_ms,task_ready_ms,scheduled_ms,start_ms,finish_ms,tier,datacenter_id,vm_id,duration_ms,length_mi,proj_edge_sec,proj_cloud_sec,input_bytes,output_bytes,gpu_mem_mb,gpu_util,queue_wait_ms,net_propagation_ms,net_tx_ms,net_total_ms
dag_71369a2d1e67416c,sampler_c9c78898,sampler,245989,262162.10,262162.10,262163.54,262529.18,1,6,0,59.13,177,0.177,0.059,458270976,45827097,874.08,0.75,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_ecd28467,unet_denoise,218982,258387.60,258387.60,258389.04,263226.68,1,6,0,795.35,2386,2.386,0.795,3042793329,304279332,5803.67,0.45,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_18ab26d2,unet_denoise,209965,259791.10,259791.10,259792.54,263285.26,1,6,0,580.40,1741,1.741,0.580,2919983477,291998347,5569.43,0.62,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_8b0232d5,sampler,218982,263226.68,263226.68,263228.12,263507.84,1,6,0,45.69,137,0.137,0.046,418722436,41872243,798.65,0.86,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_9a7fd206,sampler,209965,263285.26,263285.26,263286.70,263554.84,1,6,0,41.18,123,0.123,0.041,498067287,49806728,949.99,0.59,0.00,-1,-1,0.00
dag_820449270a0a4b03,unet_denoise_c4c862bd,unet_denoise,244769,258400.69,258400.69,258402.12,264494.41,1,6,0,1007.38,3022,3.022,1.007,5452885403,545288540,10400.55,0.48,0.00,-1,-1,0.00
dag_820449270a0a4b03,sampler_8e6968e3,sampler,244769,264494.41,264494.41,264495.85,264985.49,1,6,0,79.96,239,0.239,0.080,278125773,27812577,530.48,0.91,0.00,-1,-1,0.00
dag_71369a2d1e67416c,unet_denoise_12340657,unet_denoise,245989,262529.18,262529.18,262530.63,267110.56,1,6,0,766.27,2298,2.298,0.766,1845890811,184589081,3520.76,0.85,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_bc274811,unet_denoise,209965,263554.84,263554.84,263556.28,267219.64,1,6,0,611.16,1833,1.833,0.611,3880160915,388016091,7400.82,0.93,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_85f5c49f,sampler,209965,267219.64,267219.64,267221.08,267436.71,1,6,0,34.15,102,0.102,0.034,772018463,77201846,1472.51,0.58,0.00,-1,-1,0.00
dag_71369a2d1e67416c,sampler_418e6626,sampler,245989,267110.56,267110.56,267112.00,267487.65,1,6,0,60.79,182,0.182,0.061,499303400,49930340,952.35,0.88,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_342249dd,unet_denoise,218982,263507.84,263507.84,263509.28,267913.72,1,6,0,737.38,2212,2.212,0.737,3382344836,338234483,6451.31,0.40,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_fc1ed7fb,sampler,218982,267913.72,267913.72,267915.17,268256.92,1,6,0,55.48,166,0.166,0.055,244378358,24437835,466.11,0.61,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_7d483871,unet_denoise,209965,267436.71,267436.71,267438.16,271517.23,1,6,0,639.67,1919,1.919,0.640,3109206298,310920629,5930.34,0.83,0.00,-1,-1,0.00
dag_820449270a0a4b03,unet_denoise_1a0614de,unet_denoise,244769,264985.49,264985.49,264986.92,271613.22,1,6,0,1064.97,3194,3.194,1.065,4097761366,409776136,7815.86,0.74,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_5c92295c,sampler,209965,271517.23,271517.23,271518.67,271873.23,1,6,0,46.28,138,0.138,0.046,535564219,53556421,1021.51,0.44,0.00,-1,-1,0.00
dag_820449270a0a4b03,sampler_ac259025,sampler,244769,271613.22,271613.22,271614.66,272218.08,1,6,0,77.58,232,0.232,0.077,430852584,43085258,821.79,0.85,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_c3cfc96a,unet_denoise,218982,268256.92,268256.92,268258.36,272937.72,1,6,0,674.22,2022,2.022,0.674,2919520937,291952093,5568.54,0.72,0.00,-1,-1,0.00
dag_71369a2d1e67416c,unet_denoise_0da99f50,unet_denoise,245989,267487.65,267487.65,267489.09,273161.23,1,6,0,828.93,2486,2.486,0.829,3053198550,305319855,5823.51,0.77,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_ce9eac55,sampler,218982,272937.72,272937.72,272939.16,273361.72,1,6,0,47.40,142,0.142,0.047,507345798,50734579,967.69,0.47,0.00,-1,-1,0.00
dag_71369a2d1e67416c,sampler_2849a925,sampler,245989,273161.23,273161.23,273162.67,273677.08,1,6,0,56.27,168,0.168,0.056,485994015,48599401,926.96,0.71,0.00,-1,-1,0.00
dag_5734d644f5d6430d,vae_encode_9f2bdf85,vae_encode,270283,270283.00,270283.00,270284.44,273825.58,1,6,0,436.26,1308,1.308,0.436,1101088631,110108863,2100.16,0.40,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_351b440c,unet_denoise,209965,271873.23,271873.23,271874.67,277363.58,1,6,0,616.49,1849,1.849,0.616,2895650219,289565021,5523.01,0.89,0.00,-1,-1,0.00
dag_a83e7588d2ba4c5c,vae_encode_790374ee,vae_encode,272150,272150.00,272150.00,272151.44,277479.16,1,6,0,592.54,1777,1.777,0.592,1062710012,106271001,2026.96,0.88,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_29e80307,sampler,209965,277363.58,277363.58,277365.02,277692.16,1,6,0,35.95,107,0.107,0.036,652400657,65240065,1244.36,0.43,0.00,-1,-1,0.00
dag_71369a2d1e67416c,unet_denoise_99628bd4,unet_denoise,245989,273677.08,273677.08,273678.52,280309.66,1,6,0,736.75,2210,2.210,0.737,3361312834,336131283,6411.20,0.57,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_81374e02,unet_denoise,218982,273361.72,273361.72,273363.16,280387.16,1,6,0,780.59,2341,2.341,0.780,3263262862,326326286,6224.18,0.48,0.00,-1,-1,0.00
dag_a83e7588d2ba4c5c,unet_denoise_715f45e7,unet_denoise,272150,277479.16,277479.16,277480.58,280752.14,1,6,0,363.17,1089,1.089,0.363,3805598220,380559822,7258.60,0.72,0.00,-1,-1,0.00
dag_71369a2d1e67416c,sampler_c6326f40,sampler,245989,280309.66,280309.66,280311.10,280835.74,1,6,0,57.06,171,0.171,0.057,570245882,57024588,1087.66,0.43,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_4c3d3b5a,sampler,218982,280387.16,280387.16,280388.59,280848.82,1,6,0,49.59,148,0.148,0.049,316479191,31647919,603.64,0.95,0.00,-1,-1,0.00
dag_5734d644f5d6430d,unet_denoise_ea0e4992,unet_denoise,270283,273825.58,273825.58,273827.02,280997.89,1,6,0,798.05,2394,2.394,0.798,5025805285,502580528,9585.96,0.54,0.00,-1,-1,0.00
dag_a83e7588d2ba4c5c,sampler_6a803b80,sampler,272150,280752.14,280752.14,280753.58,281050.21,1,6,0,31.99,95,0.095,0.032,590302704,59030270,1125.91,0.62,0.00,-1,-1,0.00
dag_5734d644f5d6430d,sampler_1add3d4f,sampler,270283,280997.89,280997.89,280999.32,281446.21,1,6,0,50.29,150,0.150,0.050,468997293,46899729,894.54,0.41,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_437843e6,unet_denoise,209965,277692.16,277692.16,277693.61,282590.22,1,6,0,545.17,1635,1.635,0.545,2874181664,287418166,5482.07,0.85,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_95a41a57,sampler,209965,282590.22,282590.22,282591.65,282936.27,1,6,0,37.07,111,0.111,0.037,557459482,55745948,1063.27,0.89,0.00,-1,-1,0.00
dag_a83e7588d2ba4c5c,unet_denoise_60902fb5,unet_denoise,272150,281050.21,281050.21,281051.65,284090.78,1,6,0,338.53,1015,1.015,0.338,2175184213,217518421,4148.83,0.58,0.00,-1,-1,0.00
dag_a83e7588d2ba4c5c,sampler_a425a26b,sampler,272150,284090.78,284090.78,284092.22,284349.86,1,6,0,27.53,82,0.082,0.027,396929188,39692918,757.08,0.66,0.00,-1,-1,0.00
dag_820449270a0a4b03,unet_denoise_167e4216,unet_denoise,244769,272218.08,272218.08,272219.52,285465.78,1,6,0,1475.84,4427,4.427,1.476,3149759013,314975901,6007.69,0.63,0.00,-1,-1,0.00
dag_820449270a0a4b03,sampler_d282c463,sampler,244769,285465.78,285465.78,285467.22,286073.15,1,6,0,66.51,199,0.199,0.066,455209411,45520941,868.24,0.81,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_f8b355f7,unet_denoise,218982,280848.82,280848.82,280850.26,287678.32,1,6,0,759.89,2279,2.279,0.760,3385918587,338591858,6458.13,0.92,0.00,-1,-1,0.00
dag_5734d644f5d6430d,unet_denoise_513136e2,unet_denoise,270283,281446.21,281446.21,281447.65,287891.32,1,6,0,717.21,2151,2.151,0.717,2572414557,257241455,4906.49,0.55,0.00,-1,-1,0.00
dag_a83e7588d2ba4c5c,unet_denoise_7c3f640e,unet_denoise,272150,284349.86,284349.86,284351.29,287937.93,1,6,0,398.63,1195,1.195,0.398,2208757262,220875726,4212.87,0.58,0.00,-1,-1,0.00
dag_71369a2d1e67416c,unet_denoise_b1b2299d,unet_denoise,245989,280835.74,280835.74,280837.18,287947.93,1,6,0,791.04,2373,2.373,0.791,3591222855,359122285,6849.71,0.85,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_ef21e183,unet_denoise,209965,282936.27,282936.27,282937.70,288061.93,1,6,0,570.09,1710,1.710,0.570,3202650009,320265000,6108.57,0.85,0.00,-1,-1,0.00
dag_a83e7588d2ba4c5c,sampler_4cb3a052,sampler,272150,287937.93,287937.93,287939.36,288168.00,1,6,0,25.64,76,0.076,0.025,680696586,68069658,1298.33,0.94,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_5daca4da,sampler,218982,287678.32,287678.32,287679.76,288283.01,1,6,0,66.72,200,0.200,0.067,334763057,33476305,638.51,0.56,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_9888cf60,sampler,209965,288061.93,288061.93,288063.37,288408.00,1,6,0,37.78,113,0.113,0.038,612584107,61258410,1168.41,0.61,0.00,-1,-1,0.00
dag_5734d644f5d6430d,sampler_0e75c6bc,sampler,270283,287891.32,287891.32,287892.76,288465.39,1,6,0,62.65,187,0.187,0.062,536558058,53655805,1023.40,0.44,0.00,-1,-1,0.00
dag_71369a2d1e67416c,sampler_7f9ea0d1,sampler,245989,287947.93,287947.93,287949.37,288478.46,1,6,0,58.38,175,0.175,0.058,465948520,46594852,888.73,0.83,0.00,-1,-1,0.00
dag_a83e7588d2ba4c5c,unet_denoise_c0d9b836,unet_denoise,272150,288168.00,288168.00,288169.44,292063.04,1,6,0,432.78,1298,1.298,0.433,4051525426,405152542,7727.67,0.43,0.00,-1,-1,0.00
dag_a83e7588d2ba4c5c,sampler_72fb98b1,sampler,272150,292063.04,292063.04,292064.48,292322.11,1,6,0,27.34,82,0.082,0.027,491968388,49196838,938.36,0.70,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,unet_denoise_9597aad4,unet_denoise,209965,288408.00,288408.00,288409.44,293221.58,1,6,0,534.81,1604,1.604,0.535,2935154745,293515474,5598.36,0.53,0.00,-1,-1,0.00
dag_d45ad95bbb6b4a43,sampler_c87ea51c,sampler,209965,293221.58,293221.58,293223.01,293563.64,1,6,0,37.99,113,0.113,0.038,552953386,55295338,1054.67,0.63,0.00,-1,-1,0.00
dag_c4e115a430fa4905,unet_denoise_5b453b87,unet_denoise,218982,288283.01,288283.01,288284.45,294095.58,1,6,0,646.43,1939,1.939,0.646,1988197880,198819788,3792.19,0.87,0.00,-1,-1,0.00
dag_71369a2d1e67416c,unet_denoise_819a753c,unet_denoise,245989,288478.46,288478.46,288479.89,294575.96,1,6,0,677.52,2032,2.032,0.677,2370105090,237010509,4520.62,0.90,0.00,-1,-1,0.00
dag_c4e115a430fa4905,sampler_fbf4e8da,sampler,218982,294095.58,294095.58,294097.02,294645.65,1,6,0,59.85,179,0.179,0.060,582962336,58296233,1111.91,0.52,0.00,-1,-1,0.00
dag_71369a2d1e67416c,sampler_92879360,sampler,245989,294575.96,294575.96,294577.40,295059.16,1,6,0,53.17,159,0.159,0.053,786196228,78619622,1499.55,0.48,0.00,-1,-1,0.00
